id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
706732,47,unknown,single,unknown,no,0,no,no,unknown,16,jun,132,4,-1,0,unknown,0
621412,38,blue-collar,married,secondary,no,-839,yes,no,unknown,6,jun,188,2,-1,0,unknown,0
558690,36,services,divorced,secondary,no,101,yes,no,cellular,11,may,566,1,347,2,failure,0
364668,40,blue-collar,married,secondary,no,1270,yes,no,unknown,12,may,114,3,-1,0,unknown,0
383156,60,admin.,married,secondary,no,0,no,no,telephone,15,jul,135,2,-1,0,unknown,0
427809,27,technician,single,secondary,no,854,yes,no,unknown,19,may,938,4,-1,0,unknown,1
255734,60,retired,married,primary,no,5,no,no,cellular,13,aug,104,2,-1,0,unknown,0
83536,30,technician,married,secondary,no,-813,yes,yes,cellular,18,feb,166,1,185,4,other,0
591967,52,blue-collar,married,primary,no,1178,no,no,cellular,18,nov,220,1,-1,0,unknown,0
535760,53,blue-collar,married,secondary,no,-762,yes,yes,unknown,28,may,204,2,-1,0,unknown,0
688282,48,blue-collar,married,secondary,no,5,yes,yes,unknown,29,may,179,5,-1,0,unknown,0
548106,27,admin.,single,secondary,yes,8,no,no,cellular,8,jul,46,2,-1,0,unknown,0
418009,40,admin.,single,secondary,no,3053,no,no,unknown,19,jun,449,1,-1,0,unknown,0
192766,49,self-employed,married,secondary,no,0,no,no,unknown,16,jun,112,3,-1,0,unknown,0
376148,30,unemployed,single,tertiary,no,705,no,no,cellular,30,jan,88,3,-1,0,unknown,0
439182,51,management,married,secondary,no,2155,yes,yes,cellular,17,nov,58,1,-1,0,unknown,0
225921,40,services,divorced,secondary,no,-178,yes,no,unknown,7,may,151,2,-1,0,unknown,0
675314,52,management,married,tertiary,no,2120,no,no,cellular,21,aug,870,4,-1,0,unknown,0
292892,60,retired,married,primary,no,574,no,no,cellular,6,aug,89,2,-1,0,unknown,0
376667,36,management,single,tertiary,no,1324,no,no,cellular,7,aug,85,5,-1,0,unknown,0
